id,time,Location,Unit,Sub Unit,reporting_category,reporting_category_2,Class,Stage,Stone Family,book_value,stock_value,Devaluation
51,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Tourmaline,43231.13,513.8,42717.33
52,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Olivine ,27864.25,5154.703676,22709.54632
53,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Olivine ,2527.64,80.53917369,2447.100826
54,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Tourmaline,20712.12,28.32,20683.8
55,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Garnet,77553.98,77553.97886,0.00114
56,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Garnet,1108.46,1108.45805,0.00195
57,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Garnet,426.96,118.0388842,308.9211158
58,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Garnet,119591.21,19093.77978,100497.4302
59,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Tourmaline,4857.6,174.5701247,4683.029875
60,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Spheen ,4034.94,4034.94,-4.55E-13
61,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,140.1,140.1,0
62,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,109105.97,109105.9687,0.0013
63,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Garnet,36170.67,36170.67,0
64,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Feldspar,2.23,2.232,-0.002
65,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Topaz,314266.34,21395.00126,292871.3387
66,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,147.28,147.280016,-1.60E-05
67,Jun-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,10429.47,10429.4688,0.0012
68,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,13302.42,13302.42048,-0.00048
69,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,605.59,605.59002,-2.00E-05
70,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,69645.78,69645.77927,0.00073
71,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,151714.1,151714.1035,-0.003506
72,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,1954.13,1954.127987,0.002013
73,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,60128.12,60128.12252,-0.002516
74,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Production Return,Zosite ,304.8,304.799982,1.80E-05
75,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,190.32,190.323168,-0.003168
76,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,656.5,656.502624,-0.002624
77,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,57813.7,56994.75332,818.9466824
78,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,267.91,267.90998,2.00E-05
79,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,24727.87,24727.87334,-0.003344
80,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,38799.44,20476.16319,18323.27681
81,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,122.5,56.071,66.429
82,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,1623.82,1510.135595,113.6844054
83,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,11775.31,11635.99216,139.3178399
84,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,980.79,980.785098,0.004902
85,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,82276.09,82276.09297,-0.002969
86,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,6810.54,3572.480908,3238.059092
87,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,13993.19,13993.18918,0.000817
88,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,233.86,233.86,0
89,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,99039.81,95377.00577,3662.804227
90,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,876.1,876.0962,0.0038
91,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,4367.88,4357.294206,10.58579413
92,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,1871.95,1867.411803,4.538197485
93,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,60834.03,44897.11524,15936.91476
94,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,11821.8,11821.8,-1.82E-12
95,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,4835.34,1583.691328,3251.648672
96,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,302646.96,302646.9604,-0.000369
97,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,8397.5,8397.501,-0.001
98,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,7406.64,7406.635537,0.004463
99,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Zosite ,2216.91,2216.909228,0.000772
100,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging,Zosite ,12553.19,10251.02645,2302.163547
101,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,288842.52,245512.0836,43330.43644
102,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,43444.83,43444.82776,0.002242
103,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,22256.15,22256.15014,-0.000142
104,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Others,219395.02,158435.7352,60959.28476
105,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,20172.57,2066.4775,18106.0925
106,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Topaz,967.03,967.0304,-0.0004
107,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Others,89609.86,1710.312788,87899.54721
108,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Sample Stone Store,Others,3504.81,58.29100438,3446.518996
109,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Bagging Changing,Zosite ,3127.17,3127.16519,0.00481
110,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,29796.98,29796.98021,-0.000208
111,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,19680.78,14659.25412,5021.525884
112,Jul-19,Jaipur,Sez Total,"SEZ(E1-E2,SEZ-II)",(C)Semi-Finished,Gemstone (WIP),Gemstone,Gemstone Store,Zosite ,708.9,708.903794,-0.003794
